City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lompoc,34.6391,-120.4579,18.23,89,0,2.57,US,1717645855
84,naze,28.3667,129.4833,18.51,86,100,1.67,JP,1717645855
85,atafu village,-8.5421,-172.5159,28.96,67,87,0.63,TK,1717645855
86,mugia,43.1041,-9.2179,14.39,95,97,3.0,ES,1717645855
87,petawawa,45.9001,-77.3328,21.44,98,100,2.14,CA,1717645856
88,yaren,-0.5472,166.916,28.76,69,97,1.09,NR,1717645856
89,ceres,37.5949,-120.9577,33.87,53,1,4.31,US,1717645856
90,vilyuchinsk,52.9306,158.4028,16.15,58,100,6.41,RU,1717645856
91,margaret river,-33.95,115.0667,18.89,89,82,10.86,AU,1717645856
92,invercargill,-46.4,168.35,11.68,97,100,0.45,NZ,1717645856
93,laascaanood,8.4774,47.3597,24.73,73,88,11.89,SO,1717645856
94,chala,-7.5833,31.2667,12.54,50,87,2.15,TZ,1717645856
95,irtyshsk,53.3333,75.4572,22.11,66,83,7.46,KZ,1717645856
96,keflavik,64.0049,-22.5624,5.95,65,40,4.63,IS,1717645856
97,alpena,45.0617,-83.4327,18.18,94,0,2.06,US,1717645856
98,alofi,-19.0595,-169.9187,24.94,61,20,3.6,NU,1717645857
99,port mathurin,-19.6833,63.4167,24.05,73,40,12.35,MU,1717645857
100,nairn,57.5809,-3.8797,5.92,86,35,3.6,GB,1717645857
101,punta arenas,-53.15,-70.9167,3.06,75,75,6.17,CL,1717645642
102,bengkulu,-3.8004,102.2655,30.52,66,88,3.17,ID,1717645857
103,hithadhoo,-0.6,73.0833,28.1,71,100,2.56,MV,1717645857
104,udachny,66.4167,112.4,11.36,91,100,8.55,RU,1717645857
105,albany,42.6001,-73.9662,22.32,84,100,0.45,US,1717645710
106,ciudad lazaro cardenas,17.9583,-102.2,25.07,78,5,2.48,MX,1717645857
107,muli,2.9167,73.5667,27.86,71,16,2.24,MV,1717645857
108,el calafate,-50.3408,-72.2768,0.64,95,100,0.86,AR,1717645857
109,port elizabeth,-33.918,25.5701,12.4,90,0,2.06,ZA,1717645858
110,tokar,18.4254,37.729,31.49,35,1,0.82,SD,1717645858
111,ta`u,-14.2336,-169.5144,26.93,76,61,8.62,AS,1717645858
112,calbuco,-41.768,-73.1273,12.56,92,100,6.04,CL,1717645619
113,happy valley-goose bay,53.3168,-60.3315,15.17,77,20,2.57,CA,1717645718
114,maragogi,-9.0122,-35.2225,23.78,90,100,2.22,BR,1717645858
115,okhotsk,59.3833,143.3,5.24,95,99,3.44,RU,1717645858
116,ilebo,-4.3167,20.5833,21.12,97,100,0.66,CD,1717645858
117,zhaqsy,51.9083,67.3133,20.92,72,22,5.12,KZ,1717645858
118,yuzhno-kurilsk,44.0306,145.8556,9.1,76,77,5.77,RU,1717645858
119,nar'yan-mar,67.6713,53.087,5.06,86,97,4.47,RU,1717645858
120,tura,25.5198,90.2201,24.14,93,100,1.59,IN,1717645859
121,sebdou,34.637,-1.3314,16.61,39,98,1.35,DZ,1717645859
122,fada,9.5667,8.3,20.75,98,95,1.67,NG,1717645859
123,chonchi,-42.6128,-73.8092,10.62,95,100,2.32,CL,1717645653
124,san luis de la loma,17.2706,-100.8939,25.93,77,66,2.06,MX,1717645859
125,fiambala,-27.6871,-67.6149,14.91,27,61,2.32,AR,1717645859
126,ust-nera,64.5667,143.2,20.28,27,34,0.43,RU,1717645859
127,essaouira,31.5125,-9.77,18.72,88,100,2.57,MA,1717645859
128,vorgashor,67.5833,63.95,-1.22,88,10,3.63,RU,1717645859
129,pendembu,8.1,-10.7,23.28,99,99,1.01,SL,1717645859
130,puerto ayora,-0.7393,-90.3518,21.42,95,29,0.89,EC,1717645860
131,ancud,-41.8697,-73.8203,11.39,96,100,3.35,CL,1717645860
132,'ain el hadjar,34.7585,0.1453,21.63,44,87,2.68,DZ,1717645860
133,axim,4.8699,-2.2405,25.5,88,94,2.92,GH,1717645860
134,ketchikan,55.3422,-131.6461,9.08,96,100,2.45,US,1717645860
135,qamdo,31.1667,97.2333,15.4,31,27,1.07,CN,1717645860
136,bilibino,68.0546,166.4372,7.58,36,1,6.56,RU,1717645860
137,katabu,-4.9333,122.5167,30.8,60,33,3.9,ID,1717645860
138,mirny,62.5353,113.9611,10.69,53,100,4.02,RU,1717645860
139,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,25,0,10.0,RU,1717645860
140,isna,25.2934,32.554,32.95,13,0,3.69,EG,1717645860
141,ponta delgada,37.7333,-25.6667,18.44,77,20,2.06,PT,1717645860
142,mount gambier,-37.8333,140.7667,14.93,67,74,3.15,AU,1717645861
143,talnakh,69.4865,88.3972,-2.11,91,98,4.45,RU,1717645861
144,prince rupert,54.3161,-130.3201,10.05,81,100,11.32,CA,1717645861
145,st. john's,47.5649,-52.7093,9.53,98,100,2.06,CA,1717645653
146,verkhotur'ye,58.8627,60.8054,14.69,97,100,1.73,RU,1717645861
147,da nang,16.0678,108.2208,34.99,52,20,0.51,VN,1717645861
148,tromso,69.6496,18.957,16.01,51,0,1.03,NO,1717645607
149,corund,46.4667,25.1833,13.76,90,0,0.61,RO,1717645861
150,chibougamau,49.9168,-74.3659,22.79,56,40,5.14,CA,1717645638
151,bredasdorp,-34.5322,20.0403,12.24,86,95,4.87,ZA,1717645861
152,kyzyl,51.7,94.45,13.9,34,100,1.34,RU,1717645861
153,flying fish cove,-10.4217,105.6791,26.82,83,100,6.69,CX,1717645862
154,port saint john's,-31.6229,29.5448,15.36,50,0,3.12,ZA,1717645862
155,loango,-4.6719,11.8312,22.81,100,75,1.03,CG,1717645862
156,luanda,-8.8368,13.2343,22.0,88,75,1.54,AO,1717645862
157,lakatoro,-16.0999,167.4164,27.13,68,40,6.45,VU,1717645862
158,hengchun,22.0042,120.7439,27.81,81,100,3.0,TW,1717645862
159,carnarvon,-24.8667,113.6333,23.21,44,5,1.8,AU,1717645862
160,thunder bay,48.4001,-89.3168,13.99,100,75,1.03,CA,1717645660
161,praia da vitoria,38.7333,-27.0667,17.14,77,20,7.73,PT,1717645863
162,kangdong-up,39.1425,126.0961,26.79,40,70,2.24,KP,1717645863
163,klyuchi,52.2667,79.1667,25.33,42,100,8.44,RU,1717645863
164,faya-largeau,17.9257,19.1043,34.11,12,2,5.66,TD,1717645863
165,hawaiian paradise park,19.5933,-154.9731,26.73,82,75,3.6,US,1717645863
166,grand baie,-20.0182,57.5802,22.26,86,28,1.79,MU,1717645863
167,queenstown,-31.8976,26.8753,6.13,55,0,2.61,ZA,1717645863
168,ribeira grande,38.5167,-28.7,17.65,79,66,7.6,PT,1717645863
169,stanley,54.868,-1.6985,5.66,87,0,4.12,GB,1717645863
170,rabo de peixe,37.8,-25.5833,17.77,99,20,2.06,PT,1717645863
171,tolanaro,-25.0319,46.9987,22.04,83,20,8.23,MG,1717645864
172,katsuura,35.1333,140.3,21.82,67,100,4.26,JP,1717645864
173,trinidad,-14.8333,-64.9,21.32,69,1,1.22,BO,1717645864
174,uyuni,-20.4597,-66.825,5.37,20,0,2.12,BO,1717645864
175,galveston,29.3669,-94.9669,26.14,91,17,3.2,US,1717645091
176,brokopondo,4.75,-55.1667,25.65,88,100,2.68,SR,1717645864
177,ugoofaaru,5.6667,73.0,28.5,76,38,4.1,MV,1717645864
178,colonia,50.9333,6.95,11.01,88,0,1.54,DE,1717645864
179,qaqortoq,60.7167,-46.0333,3.57,99,100,1.63,GL,1717645864
180,fyodorovka,53.6314,62.7078,21.86,64,31,3.64,KZ,1717645864
181,kirtipur,27.6667,85.2833,24.96,69,40,1.54,NP,1717645864
182,dudinka,69.4058,86.1778,-1.85,99,96,2.24,RU,1717645865
183,diboll,31.1871,-94.781,24.01,93,3,1.9,US,1717645865
184,kristiansund,63.1115,7.732,7.36,83,51,2.06,NO,1717645865
185,maumere,-8.6199,122.2111,27.59,78,57,2.07,ID,1717645865
186,naha,26.2125,127.6811,24.38,84,75,3.09,JP,1717645865
187,olyokminsk,60.3736,120.4264,20.34,27,100,4.84,RU,1717645865
188,jiexiu,37.0244,111.9125,24.8,41,100,2.39,CN,1717645865
189,moose jaw,50.4001,-105.5344,14.14,54,16,7.72,CA,1717645865
190,chhatapur,26.2167,87.0167,32.09,60,0,6.2,IN,1717645865
191,heniches'k,46.1759,34.8034,21.29,74,94,4.49,UA,1717645865
192,inari,68.906,27.0288,15.11,56,82,2.37,FI,1717645865
193,tanhacu,-14.0214,-41.2481,20.91,82,100,1.14,BR,1717645865
194,camacupa,-12.0167,17.4833,12.14,35,31,1.25,AO,1717645866
195,gadzhiyevo,69.2551,33.3362,8.27,78,85,1.02,RU,1717645866
196,portland,45.5234,-122.6762,21.99,54,20,4.63,US,1717645830
197,steffisburg,46.7781,7.6325,14.92,88,40,0.51,CH,1717645866
198,natal,-5.795,-35.2094,25.12,94,40,3.09,BR,1717645595
199,kapa'a,22.0752,-159.319,29.99,81,40,4.63,US,1717645866
